antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({1708, 88444})",frozenset({70509}),0.0014247356019507918,0.0081374321880651,0.0010411529398871172,0.7307692307692308,89.80341880341881,0.0010295592505403205,3.6840609661586163,0.9902754471648033
"frozenset({88444, 70509})",frozenset({1708}),0.0015891281714066525,0.004822182037371911,0.0010411529398871172,0.6551724137931034,135.86637931034483,0.0010334898745638784,2.886015672091621,0.9942197700618175
"frozenset({1708, 70509})",frozenset({88444}),0.0016987232177105595,0.003397446435421119,0.0010411529398871172,0.6129032258064516,180.40114464099895,0.0010353816187463393,2.5745565967084953,0.9961489793206255
frozenset({70447}),frozenset({87945}),0.002822072442325607,0.003616636528028933,0.0014247356019507918,0.5048543689320388,139.59223300970874,0.0014145291916711333,2.012303655639471,0.9956460629630022
frozenset({70450}),frozenset({70449}),0.0027672749191736535,0.005205764699435586,0.0016165269329826292,0.5841584158415841,112.21375716519019,0.0016021211508947615,2.3922432801275475,0.9938386615026475
frozenset({88676}),frozenset({70509}),0.0015069318866787222,0.0081374321880651,0.0010411529398871172,0.6909090909090909,84.9050505050505,0.001028890383847236,3.20896713115626,0.9897135685576756
frozenset({88676}),frozenset({88411}),0.0015069318866787222,0.00457559318318812,0.0012055455093429777,0.7999999999999999,174.84071856287423,0.0011986504020747616,4.977122034084058,0.9957810827868178
frozenset({88676}),frozenset({135493}),0.0015069318866787222,0.0016713244561345827,0.0010411529398871172,0.6909090909090909,413.39016393442625,0.001038634367771182,3.229886891465447,0.9990865331151605
frozenset({135493}),frozenset({88676}),0.0016713244561345827,0.0015069318866787222,0.0010411529398871172,0.6229508196721312,413.39016393442625,0.001038634367771182,2.6481772676048956,0.9992510504793422
frozenset({1697}),frozenset({70509}),0.002822072442325607,0.0081374321880651,0.0015617294098306757,0.5533980582524272,68.00647249190938,0.0015387649867014438,2.2209096627093325,0.9880839617934795
"frozenset({1697, 88411})",frozenset({70509}),0.0013151405556468849,0.0081374321880651,0.0012329442709189545,0.9375,115.20833333333333,0.0012222424038296038,15.869801084990959,0.9926255144032923
"frozenset({1697, 70509})",frozenset({88411}),0.0015617294098306757,0.00457559318318812,0.0012329442709189545,0.7894736842105263,172.5401827923101,0.0012257984324773488,4.728265932379856,0.995759355304922
